budget,id,original_title,popularity,release_date,revenue,title,vote_average,vote_count,Collection,genres,ProdCompany_1,ProdCompany_2,ProdCompany_3,release_year,return
0.0,49497,Camp Cucamonga,1.79831,1990-09-23,0.0,Camp Cucamonga,4.7,9.0,,"['Comedy', 'Drama', 'Family']",,,,1990,0.0
0.0,169379,My American Cousin,0.115498,1985-09-05,0.0,My American Cousin,4.7,3.0,,"['Comedy', 'Drama']",Borderline Productions Ltd.,Telefilm Canada,Canadian Broadcasting Corporation (CBC),1985,0.0
0.0,142216,Quarterback Princess,0.479034,1983-12-03,0.0,Quarterback Princess,5.3,4.0,,['Drama'],,,,1983,0.0
0.0,117509,Wimps,0.039274,1986-01-01,0.0,Wimps,5.0,1.0,,,,,,1986,0.0
0.0,46578,The Great American Girl Robbery,1.004865,1979-09-01,0.0,Cheerleaders' Wild Weekend,2.7,3.0,,"['Comedy', 'Crime']",,,,1979,0.0
0.0,27200,Sherlock Holmes in New York,0.566258,1976-10-18,0.0,Sherlock Holmes in New York,6.0,5.0,,['Thriller'],,,,1976,0.0
0.0,26447,3:15,0.36671,1985-01-31,0.0,3:15,6.0,2.0,,"['Action', 'Crime', 'Thriller']",Romax,Wescom,,1985,0.0
0.0,192452,Hot Times at Montclair High,0.069488,1989-01-01,0.0,Hot Times at Montclair High,6.0,1.0,,['Comedy'],,,,1989,0.0
0.0,14630,Puberty Blues,0.942918,1981-12-10,0.0,Puberty Blues,5.4,10.0,,"['Drama', 'Comedy']",Limelight Productions,,,1981,0.0
0.0,81457,Computer Beach Party,0.003553,1987-01-01,0.0,Computer Beach Party,3.0,1.0,,['Comedy'],Southwest Motion Pictures,,,1987,0.0
0.0,58507,The Check Is in the Mail...,0.041717,1986-01-01,0.0,The Check Is in the Mail...,7.0,1.0,,['Comedy'],Check Productions,,,1986,0.0
0.0,98103,Summer Job,0.003013,1989-03-03,0.0,Summer Job,4.3,3.0,,,,,,1989,0.0
